recommendation_id,target_time,split,selection_order,dispatch_tier,recommended_patrols,deployment_status,zone_index,zone_250m,latitude,longitude,spatial_priority_score,calibrated_pressure,hotspot_probability,hotspot_probability_percent,incident_count,unique_vehicles,distance_neighbour_exposure,active_neighbour_count,current_burst_z,relative_to_same_hour,consecutive_active_hours_before,explicit_road_obstruction,large_vehicle_evidence,multi_offence_evidence,disruption_class,observation_confidence,confidence_tier,verification_required,has_current_incident_evidence,patrol_action,reason_codes,evidence_summary,confidence_note,local_pressure_removed_30pct,local_pressure_removed_60pct,local_pressure_removed_90pct,dispatch_threshold_score,patrol_balance_alpha,coverage_radius_m,scenario_scope,spatial_context_role
20240408T230000+0530_Z401,2024-04-08 23:00:00+05:30,test,1,highest_priority,3,deployment_recommended,401,250_3118_5738,12.9642931,77.5768566,0.7509933,0.6708861,0.021234568,2.1234567,0,0,0.03659543,1,-0.42018306,0.0,1,0,0,0,no_explicit_context,0.9099716,high_confidence,False,False,preventive_patrol,FORECAST_RECURRENCE_SIGNAL,forecast recurrence without current contextual evidence,strong historical observation support,0.20126583,0.40253165,0.6037975,0.5886576771736145,0.6,500,hypothetical local pressure suppression; not a causal treatment estimate,neighbourhood ranking and patrol coverage; not learned congestion propagation
20240408T230000+0530_Z1062,2024-04-08 23:00:00+05:30,test,2,highest_priority,3,deployment_recommended,1062,250_3169_5758,13.008193250000001,77.6954258,0.7388929,0.5692568,0.021234568,2.1234567,0,0,0.0,0,-0.40405545,0.0,0,0,0,0,no_explicit_context,0.8963227,medium_confidence,False,False,preventive_patrol,FORECAST_RECURRENCE_SIGNAL,forecast recurrence without current contextual evidence,moderate observation support,0.17077704,0.34155408,0.5123311,0.5886576771736145,0.6,500,hypothetical local pressure suppression; not a causal treatment estimate,neighbourhood ranking and patrol coverage; not learned congestion propagation
20240408T230000+0530_Z371,2024-04-08 23:00:00+05:30,test,3,highest_priority,3,deployment_recommended,371,250_3117_5738,12.9647128,77.5758439,0.6461893,0.5526734,0.019368723,1.9368722,1,1,0.0,0,0.3960053,0.5833333,0,1,0,1,compounded_disruption_evidence,0.919878,high_confidence,False,True,targeted_obstruction_enforcement,CURRENT_INCIDENT_ACTIVITY|ROAD_INTERFACE_EVIDENCE|MULTIPLE_OFFENCE_EVIDENCE,1 current incident(s); road-interface obstruction evidence; multiple-offence evidence,strong historical observation support,0.16580202,0.33160403,0.49740607,0.5886576771736145,0.6,500,hypothetical local pressure suppression; not a causal treatment estimate,neighbourhood ranking and patrol coverage; not learned congestion propagation
