target_time,split_code,recommended_patrols,maximum_priority_score,mean_selected_confidence,deployment_status
2024-02-26 15:00:00+05:30,2,2,0.80684686,0.8577248,deployment_recommended
2024-02-26 16:00:00+05:30,2,2,1.0792619,0.7753614,deployment_recommended
2024-02-26 17:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-26 18:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-26 19:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-26 20:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-26 21:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-26 22:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-26 23:00:00+05:30,2,1,0.8758207,0.9099716,deployment_recommended
2024-02-27 00:00:00+05:30,2,4,2.147111,0.91449904,deployment_recommended
2024-02-27 01:00:00+05:30,2,15,6.906686,0.91158897,deployment_recommended
2024-02-27 02:00:00+05:30,2,19,5.5893345,0.86089015,deployment_recommended
2024-02-27 03:00:00+05:30,2,25,3.5638313,0.8616124,deployment_recommended
2024-02-27 04:00:00+05:30,2,25,5.4709625,0.85869086,deployment_recommended
2024-02-27 05:00:00+05:30,2,25,4.458349,0.87977445,deployment_recommended
2024-02-27 06:00:00+05:30,2,25,9.422747,0.86434203,deployment_recommended
2024-02-27 07:00:00+05:30,2,25,4.8719234,0.89052546,deployment_recommended
2024-02-27 08:00:00+05:30,2,25,4.404187,0.88133186,deployment_recommended
2024-02-27 09:00:00+05:30,2,25,5.993723,0.8998244,deployment_recommended
2024-02-27 10:00:00+05:30,2,25,8.858938,0.8828114,deployment_recommended
2024-02-27 11:00:00+05:30,2,25,7.0686483,0.8386335,deployment_recommended
2024-02-27 12:00:00+05:30,2,25,6.032449,0.8721435,deployment_recommended
2024-02-27 13:00:00+05:30,2,23,2.782323,0.9010991,deployment_recommended
2024-02-27 14:00:00+05:30,2,6,1.3638097,0.897739,deployment_recommended
2024-02-27 15:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-27 16:00:00+05:30,2,2,1.1666517,0.9149248,deployment_recommended
2024-02-27 17:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-27 18:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-27 19:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-27 20:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-27 21:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-27 22:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-27 23:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-28 00:00:00+05:30,2,4,2.0138934,0.91449904,deployment_recommended
2024-02-28 01:00:00+05:30,2,13,5.8506265,0.9179862,deployment_recommended
2024-02-28 02:00:00+05:30,2,17,4.039313,0.8972725,deployment_recommended
2024-02-28 03:00:00+05:30,2,25,3.0360987,0.8329579,deployment_recommended
2024-02-28 04:00:00+05:30,2,25,3.1771865,0.8480116,deployment_recommended
2024-02-28 05:00:00+05:30,2,25,6.6685953,0.79387116,deployment_recommended
2024-02-28 06:00:00+05:30,2,25,3.914394,0.870136,deployment_recommended
2024-02-28 07:00:00+05:30,2,25,3.9144297,0.87056494,deployment_recommended
2024-02-28 08:00:00+05:30,2,25,4.6505384,0.903829,deployment_recommended
2024-02-28 09:00:00+05:30,2,25,4.021237,0.8875634,deployment_recommended
2024-02-28 10:00:00+05:30,2,25,13.318088,0.8976937,deployment_recommended
2024-02-28 11:00:00+05:30,2,25,5.235974,0.85654813,deployment_recommended
2024-02-28 12:00:00+05:30,2,25,5.2698383,0.8872981,deployment_recommended
2024-02-28 13:00:00+05:30,2,25,7.442827,0.8376132,deployment_recommended
2024-02-28 14:00:00+05:30,2,8,2.982302,0.8389374,deployment_recommended
2024-02-28 15:00:00+05:30,2,2,1.0390574,0.8668438,deployment_recommended
2024-02-28 16:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-28 17:00:00+05:30,2,1,1.0458337,0.8963227,deployment_recommended
2024-02-28 18:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-28 19:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-28 20:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-28 21:00:00+05:30,2,0,,,no_deployment_recommended
2024-02-28 22:00:00+05:30,2,1,0.9632392,0.8963227,deployment_recommended
2024-02-28 23:00:00+05:30,2,2,2.8353176,0.90280676,deployment_recommended
2024-02-29 00:00:00+05:30,2,7,5.181715,0.91083723,deployment_recommended
2024-02-29 01:00:00+05:30,2,16,6.9877167,0.9062382,deployment_recommended
2024-02-29 02:00:00+05:30,2,22,4.9516034,0.88053536,deployment_recommended
2024-02-29 03:00:00+05:30,2,25,4.8261666,0.8798122,deployment_recommended
2024-02-29 04:00:00+05:30,2,25,7.045181,0.78731555,deployment_recommended
2024-02-29 05:00:00+05:30,2,25,8.882754,0.8681426,deployment_recommended
2024-02-29 06:00:00+05:30,2,25,4.826251,0.88498896,deployment_recommended
2024-02-29 07:00:00+05:30,2,25,3.2672398,0.8614086,deployment_recommended
2024-02-29 08:00:00+05:30,2,25,5.838192,0.87796736,deployment_recommended
2024-02-29 09:00:00+05:30,2,25,4.3868737,0.84498495,deployment_recommended
2024-02-29 10:00:00+05:30,2,25,7.6679034,0.85179496,deployment_recommended
2024-02-29 11:00:00+05:30,2,25,9.090667,0.87275296,deployment_recommended
